rank,id_boleto,risk_score_heuristico,risk_level,statistical_score,statistical_level,score_consolidado,amount,delay_days,payer_uf,beneficiary_uf,tipo_especie,baixa_missing,z_payer,z_beneficiary,z_combined,motivo_estatistico,motivos_heuristicos
1,8accfd773ae72a6a1a6e61b04860db407225f37a5aa958b4179449ab6cf0951f,75.33,critico,100.0,anomalia forte,82.73,951590.45,58,PR,SC,DMI DUPLICATA MERCANTIL INDICACAO,sim,1.0,25.5728,25.5728,valor 1.00 desvios acima da media do pagador; valor 25.57 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 58 dias; valor nominal entre os 5% maiores da base; beneficiario com alta concentracao operacional; pagador com baixa liquidez
2,d13060ecbbad2a74dcca0e0f3992b606022ac67b57e4156002520cd48d4e39f9,70.0,alto,100.0,anomalia forte,79.0,30000.00,-116,SP,SP,DMI DUPLICATA MERCANTIL INDICACAO,sim,,4.942,4.942,valor 4.94 desvios acima da media do beneficiario,boleto sem valor de baixa; valor nominal elevado; beneficiario com alta concentracao operacional; pagador com baixa liquidez; score de materialidade desfavoravel
3,09de1bf475947ef73b257c44379d61c26571ecd572cec839415039397d9a9381,78.0,critico,71.45,anomalia moderada,76.03,2736.18,62,CE,SC,DM DUPLICATA MERCANTIL,sim,,2.858,2.858,valor 2.86 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 62 dias; beneficiario com alta concentracao operacional; pagador com baixa liquidez; beneficiario com baixa liquidez
4,4ac5989eef05f5648749e74c775a7afe494eef1a9ab60b0d051acb0be60ddde6,72.0,alto,76.38,anomalia forte,73.31,7175.00,68,SP,SP,DM DUPLICATA MERCANTIL,sim,,3.0554,3.0554,valor 3.06 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; beneficiario com alta concentracao operacional; pagador com liquidez moderada; beneficiario com baixa liquidez
5,9ae1658a0a91ff2e0fa7bf2ed2d0755b2e8ded34280250e02af98e2410986a63,79.0,critico,59.89,anomalia moderada,73.27,30937.50,68,SP,SP,DM DUPLICATA MERCANTIL,sim,1.3703,2.3955,2.3955,valor 1.37 desvios acima da media do pagador; valor 2.40 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
6,52a60aeb8b917c95e0580b4109864cdfeca407a8efe32c02b6c7aec8c9cb6785,79.0,critico,59.89,anomalia moderada,73.27,30937.50,68,SP,SP,DM DUPLICATA MERCANTIL,sim,1.3703,2.3955,2.3955,valor 1.37 desvios acima da media do pagador; valor 2.40 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
7,c168f75da7a241e3aaed3aac79e9322d0319cd349eb01902b21031e18a670686,60.0,alto,100.0,anomalia forte,72.0,6691.04,62,PA,PA,DM DUPLICATA MERCANTIL,sim,4.9807,5.082,5.082,valor 4.98 desvios acima da media do pagador; valor 5.08 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 62 dias; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com liquidez moderada
8,3ad3d51d3bc493caa1e5791ae2aaf33e34431a99fb1b7d9f922aec6b70bce32b,79.0,critico,47.34,desvio leve,69.5,26070.00,128,SP,SP,DM DUPLICATA MERCANTIL,sim,0.835,1.8936,1.8936,valor 0.83 desvios acima da media do pagador; valor 1.89 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 128 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
9,69d2a769bd997c56c52c758daab3b33d2940a3383c6b9dd050205371ef6a66bb,79.0,critico,45.1,desvio leve,68.83,25199.99,128,SP,SP,DM DUPLICATA MERCANTIL,sim,0.7393,1.8038,1.8038,valor 0.74 desvios acima da media do pagador; valor 1.80 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 128 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
10,a88b5a6578f9dbec5b92bcbce6965ad461ed1d56f32895f0aca622c91e171c04,79.0,critico,45.1,desvio leve,68.83,25199.99,128,SP,SP,DM DUPLICATA MERCANTIL,sim,0.7393,1.8038,1.8038,valor 0.74 desvios acima da media do pagador; valor 1.80 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 128 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
11,86fcaa2d5d7549fa1b06bcbe267ebb6e951d6fa178a2d7f6f6aaf67f26d3fe44,79.0,critico,45.1,desvio leve,68.83,25200.04,128,SP,SP,DM DUPLICATA MERCANTIL,sim,0.7393,1.8039,1.8039,valor 0.74 desvios acima da media do pagador; valor 1.80 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 128 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
12,bd2c868b13da2993ac88eeaf2fdf45f9d8f7e46427e7b952c4054027ed28c5c5,79.0,critico,45.1,desvio leve,68.83,25199.99,128,SP,SP,DM DUPLICATA MERCANTIL,sim,0.7393,1.8038,1.8038,valor 0.74 desvios acima da media do pagador; valor 1.80 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 128 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
13,c0393b36027e115db0ec77e9a1dcf6bad9198bbb69af891cf945b93db50c9d09,79.0,critico,45.1,desvio leve,68.83,25199.99,128,SP,SP,DM DUPLICATA MERCANTIL,sim,0.7393,1.8038,1.8038,valor 0.74 desvios acima da media do pagador; valor 1.80 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 128 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
14,2f06ddf2651116807f84d38297be2c0bd455df5f9725b02d349b132bdcc071b3,68.67,alto,59.89,anomalia moderada,66.04,30937.50,29,SP,SP,DM DUPLICATA MERCANTIL,sim,1.3703,2.3955,2.3955,valor 1.37 desvios acima da media do pagador; valor 2.40 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 29 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
15,ed954178cdba7e88cadc25f5c19bc26df374ac1fe0ebc6396e23bfe7537a6f5e,51.0,alto,100.0,anomalia forte,65.7,800000.00,-16,,,DM DUPLICATA MERCANTIL,nao,10.1376,10.7144,10.7144,valor 10.14 desvios acima da media do pagador; valor 10.71 desvios acima da media do beneficiario,valor nominal entre os 5% maiores da base; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com baixa liquidez; score de quantidade baixo
16,22481e7011184701271c45ceda1dab689fb45156983ca47e5d8ef9d30c8bbb95,73.0,alto,47.48,desvio leve,65.34,140000.00,62,PR,PR,DM DUPLICATA MERCANTIL,sim,1.8994,1.8994,1.8994,valor 1.90 desvios acima da media do pagador; valor 1.90 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 62 dias; valor nominal elevado; pagador com recorrencia relevante; pagador com baixa liquidez
17,26d62c22d176a4cbc1e45f3d5af944995879fcc8d47f90dcf74957f57d7e79c9,48.0,medio,100.0,anomalia forte,63.6,39422.53,0,SP,RJ,DM DUPLICATA MERCANTIL,nao,1.6997,4.6101,4.6101,valor 1.70 desvios acima da media do pagador; valor 4.61 desvios acima da media do beneficiario,valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com baixa liquidez; beneficiario com baixa liquidez
18,08da5731f5da737c3f63626218f1980da3b8f645fccbd937f23304ae0baeff37,48.0,medio,100.0,anomalia forte,63.6,39422.53,0,SP,RJ,DM DUPLICATA MERCANTIL,nao,1.6997,4.6101,4.6101,valor 1.70 desvios acima da media do pagador; valor 4.61 desvios acima da media do beneficiario,valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com baixa liquidez; beneficiario com baixa liquidez
19,3b652c288ffaf1bc7c284e3bfbd70ec16f11968d412d3253933b978131c6b36d,47.67,medio,100.0,anomalia forte,63.37,803892.62,2,GO,GO,DM DUPLICATA MERCANTIL,sim,1.0,4.6557,4.6557,valor 1.00 desvios acima da media do pagador; valor 4.66 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 2 dias; valor nominal entre os 5% maiores da base; beneficiario com alta concentracao operacional; pagador com liquidez moderada
20,440bb71ca01f10853bd5b39a80ebd5977e701bc25d9ffad51e1d47e046c96a66,61.0,alto,68.27,anomalia moderada,63.18,32375.00,68,SP,SP,DM DUPLICATA MERCANTIL,sim,-0.3408,2.7309,2.7309,valor 0.34 desvios abaixo da media do pagador; valor 2.73 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; valor nominal elevado; beneficiario com alta concentracao operacional; pagador com liquidez moderada
21,c2ad89069ba0c471acd770506c8e44f42843a0d656e1cd4fbad060ad1633fe3b,61.0,alto,66.14,anomalia moderada,62.54,237254.40,,SP,RJ,DM DUPLICATA MERCANTIL,sim,0.0524,2.6456,2.6456,valor 0.05 desvios acima da media do pagador; valor 2.65 desvios acima da media do beneficiario,boleto sem valor de baixa; valor nominal entre os 5% maiores da base; beneficiario com alta concentracao operacional; pagador com baixa liquidez; score de quantidade baixo
22,dde7e08608f86d9ead00eaa77a4c821703289c25ed9d64a35112b9b7dfe9fa8c,46.0,medio,100.0,anomalia forte,62.2,951590.45,-12,SC,SP,DMI DUPLICATA MERCANTIL INDICACAO,nao,9.7185,,9.7185,valor 9.72 desvios acima da media do pagador,valor nominal entre os 5% maiores da base; pagador com alta recorrencia de boletos; pagador com baixa liquidez; beneficiario com baixa liquidez; score de quantidade baixo
23,9c6dd29708240e5e856c43159b1e09c6e8362d6c4d1175ad2f44d8173d78b5ed,74.0,alto,33.82,desvio leve,61.95,178500.01,62,CE,CE,DM DUPLICATA MERCANTIL,sim,1.0,1.3529,1.3529,valor 1.00 desvios acima da media do pagador; valor 1.35 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 62 dias; valor nominal elevado; pagador com baixa liquidez; score de quantidade baixo
24,9ae594e808ffd9109dbc497c6f302468a22e101bee791f250113684368063a63,60.0,alto,65.5,anomalia moderada,61.65,3904.65,62,PA,PA,DM DUPLICATA MERCANTIL,sim,2.5607,2.6201,2.6201,valor 2.56 desvios acima da media do pagador; valor 2.62 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 62 dias; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com liquidez moderada
25,9c98ccff8d7f64e7b9c71f375ddcff9f3e2341b302b4bc12cdea973e69c07f4a,55.33,alto,74.92,anomalia moderada,61.21,73400.00,1,MT,MT,DM DUPLICATA MERCANTIL,sim,-2.9969,-1.2818,2.9969,valor 3.00 desvios abaixo da media do pagador; valor 1.28 desvios abaixo da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 1 dias; valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
26,70d4e7fdfaaad1e0da19ef6191ced086974c456eeb8165ac7d37763d577246c2,44.33,medio,100.0,anomalia forte,61.03,11158.61,28,BA,,DM DUPLICATA MERCANTIL,sim,5.7295,1.0,5.7295,valor 5.73 desvios acima da media do pagador; valor 1.00 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 28 dias; pagador com alta recorrencia de boletos; pagador com liquidez moderada; indicador de inadimplencia moderado
27,722d592724b37e5ca54cc240492cb5077cf533c2f80fea6debb2ecc37ef39970,78.0,critico,20.85,comportamento normal,60.85,910.82,68,RS,RS,DM DUPLICATA MERCANTIL,sim,,-0.834,0.834,valor 0.83 desvios abaixo da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; beneficiario com alta concentracao operacional; pagador com baixa liquidez; beneficiario com baixa liquidez
28,0e2ab5c8a9142fe15bc288683c0e6433fba3b563b8cd1e1b53b1529c8c236cff,80.0,critico,15.48,comportamento normal,60.64,210500.00,188,RJ,SP,DM DUPLICATA MERCANTIL,sim,,0.6191,0.6191,valor 0.62 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 188 dias; valor nominal entre os 5% maiores da base; beneficiario com alta concentracao operacional; pagador com liquidez moderada
29,317da1995e9c544899f50d0c7e96e1c6ea906e105ab6b8e75876c6245cdbfc45,52.0,alto,80.24,anomalia forte,60.47,38832.95,122,SP,SP,DM DUPLICATA MERCANTIL,sim,-1.0,3.2096,3.2096,valor 1.00 desvios abaixo da media do pagador; valor 3.21 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 122 dias; valor nominal elevado; beneficiario com alta concentracao operacional
30,dc4cc391574122c4df6b3df4b1f67447bdd215f539d6c5318d008aea0d4c9473,71.0,alto,35.77,desvio leve,60.43,21583.35,128,SP,SP,DM DUPLICATA MERCANTIL,sim,0.3415,1.4309,1.4309,valor 0.34 desvios acima da media do pagador; valor 1.43 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 128 dias; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com baixa liquidez
31,b9d54bc130d32923d20bd1681f8c318a2d61b2e48d83433d09455c95b7c66523,43.33,medio,100.0,anomalia forte,60.33,149387.11,22,SP,RJ,DM DUPLICATA MERCANTIL,sim,,4.3847,4.3847,valor 4.38 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 22 dias; valor nominal elevado; beneficiario com alta concentracao operacional; pagador com liquidez moderada
32,34402d8b950be4bca4544b3c2288e21b0ceea581ef1c0d0caf0000a6e4a340e6,67.0,alto,42.84,desvio leve,59.75,1139.44,63,PR,,DM DUPLICATA MERCANTIL,sim,1.6323,1.7137,1.7137,valor 1.63 desvios acima da media do pagador; valor 1.71 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 63 dias; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com baixa liquidez
33,5a90c686639c04acfa657a2452fd8c7bbab750e395acd9912306b58993cb2d36,73.0,alto,28.46,desvio leve,59.64,64296.80,68,SP,,DM DUPLICATA MERCANTIL,sim,1.1383,1.0,1.1383,valor 1.14 desvios acima da media do pagador; valor 1.00 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; valor nominal elevado; pagador com recorrencia relevante; pagador com baixa liquidez
34,c964b6ec4787ca95d460cacc90dab342faf0cee363dff6d8a051161c0986d1ef,73.0,alto,28.46,desvio leve,59.64,64296.00,68,SP,,DM DUPLICATA MERCANTIL,sim,1.1382,-1.0,1.1382,valor 1.14 desvios acima da media do pagador; valor 1.00 desvios abaixo da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; valor nominal elevado; pagador com recorrencia relevante; pagador com baixa liquidez
35,08a2a10d1ca377fbefec9f86dc60a27db3e4cf3964c018dd2eed141d910bad9a,74.0,alto,25.0,desvio leve,59.3,51947.94,62,RS,RS,DM DUPLICATA MERCANTIL,sim,1.0,1.0,1.0,valor 1.00 desvios acima da media do pagador; valor 1.00 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 62 dias; valor nominal elevado; pagador com baixa liquidez; score de quantidade baixo
36,62225f2120805bc8123ed8a46cfd3e97f086158fc850c3db9deaeed8919e10dc,74.0,alto,25.0,desvio leve,59.3,47250.00,68,CE,CE,DM DUPLICATA MERCANTIL,sim,-1.0,-0.5824,1.0,valor 1.00 desvios abaixo da media do pagador; valor 0.58 desvios abaixo da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; valor nominal elevado; pagador com baixa liquidez; score de quantidade baixo
37,b20a2ac4894aadd5f1979683fed2b5822942444c54526c504a7cc8b6f2c043a8,78.0,critico,12.69,comportamento normal,58.41,736.80,188,DF,SP,DM DUPLICATA MERCANTIL,sim,,-0.5075,0.5075,valor 0.51 desvios abaixo da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 188 dias; beneficiario com alta concentracao operacional; pagador com baixa liquidez; beneficiario com baixa liquidez
38,bc1ffcb7610946201611db45e68d74841f143f56ed67e69c50b476f7a484ff08,67.0,alto,38.01,desvio leve,58.3,1072.92,68,PR,,DM DUPLICATA MERCANTIL,sim,1.4347,1.5202,1.5202,valor 1.43 desvios acima da media do pagador; valor 1.52 desvios acima da media do beneficiario,boleto sem valor de baixa; pagamento com atraso de 68 dias; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com baixa liquidez
